road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Elizabeth Drive Eastbound,"-33.87935,150.78513",08:30,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",08:30,0.0,62,62,1319.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",08:30,0.0,65,65,1319.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",08:30,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",08:30,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",08:30,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",08:30,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.877,150.84343",08:30,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",08:45,34.693877551020414,32,49,1319.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",08:45,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",08:45,35.38461538461538,42,65,1319.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",08:45,0.0,79,79,1319.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",08:45,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",08:45,0.0,73,73,1319.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",08:45,0.0,75,75,1319.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",08:45,0.0,67,67,1319.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",08:45,0.0,62,62,1319.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",08:45,0.0,65,65,1319.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",08:45,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",08:45,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",08:45,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",08:45,0.0,71,71,1319.0
Elizabeth Drive Eastbound,"-33.877,150.84343",08:45,0.0,68,68,1319.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",09:00,0.0,48,48,786.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",09:00,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",09:00,0.0,65,65,786.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",09:00,0.0,79,79,786.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",09:00,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",09:00,0.0,73,73,786.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",09:00,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",09:00,0.0,67,67,786.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",09:00,0.0,62,62,786.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",09:00,0.0,65,65,786.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",09:00,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",09:00,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",09:00,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",09:00,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.877,150.84343",09:00,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",09:15,0.0,48,48,786.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",09:15,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",09:15,0.0,64,64,786.0
Elizabeth Drive Eastbound,"-33.87107,150.73361",09:15,0.0,79,79,786.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",09:15,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",09:15,0.0,73,73,786.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",09:15,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",09:15,0.0,67,67,786.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",09:15,0.0,62,62,786.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",09:15,0.0,65,65,786.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",09:15,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",09:15,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",09:15,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",09:15,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.877,150.84343",09:15,0.0,68,68,786.0
Elizabeth Drive Eastbound,"-33.86547,150.69865",09:30,52.0,24,50,786.0
Elizabeth Drive Eastbound,"-33.86461,150.70842",09:30,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.86851,150.71696",09:30,0.0,64,64,786.0
