route,inter_point
route 4,John Renshaw Drive
route 4,Palm Valley Motel & Home Village
route 4,Tarro Interchange
route 4,Anderson Drive
route 4,Anderson Drive
route 4,Anderson Drive
route 4,Woodberry Road
route 4,13
route 4,13
route 4,16
route 4,Woodberry Road
route 4,Woodberry Road
route 4,440
route 4,432
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Road
route 4,Woodberry Rd After Raymond Terrace Rd
route 4,Millers Forest
route 4,Raymond Terrace Road
route 4,Raymond Terrace Rd Opp Monkleys Rd (Hail And Ride)
route 4,Raymond Terrace Road
route 4,Raymond Terrace Road
route 5,Albion Street
route 5,Flinders Street
route 5,South Dowling Street
route 5,89
route 5,Foveaux Street
route 5,The Forresters
route 5,Foveaux Street
route 5,Eddy Avenue
route 5,Central
route 5,in cafe
route 5,Lee Street
route 5,City Convenience
route 5,8-14
route 5,Saint Benedicts
route 5,154-160
route 5,6
route 5,Broadway
route 5,The University of Sydney
route 5,Wild Bean
route 5,Bridge Road School
route 5,187
route 5,Bridgestone
route 5,Upholstery Worx
route 5,Charles Street
route 5,Parramatta Road
route 5,Chrismas Kilgour Building
route 5,Gourmet Cake Express
route 5,Parramatta Road
route 5,Parramatta Road
route 5,Liverpool Road
route 5,Liverpool Road
route 5,The Church of Jesus Christ of Latter-day Saints
route 5,Liverpool Road
route 5,Liverpool Road
route 5,Ashfield Public School
route 5,Ashfield Mall
route 5,312
route 5,Family Planning NSW
route 5,Ashfield RSL
route 5,Wetherill Street
route 5,Malvern Avenue
route 5,Liverpool Road
route 5,Liverpool Road
route 5,Liverpool Road
route 5,Liverpool Road
route 5,Liverpool Road
route 5,Liverpool Road
route 6,William Street Offramp
route 6,Eastern Distributor
route 6,SCEGGS
route 6,Bourke Street
route 6,Palmer Street
route 6,Storage King
route 6,Palmer Street
route 6,Sir John Young Crescent
route 6,Cahill Expressway
