road,point
Camden Valley Way Northbound,"-34.05248,150.7094"
Camden Valley Way Northbound,"-34.05231,150.70966"
Camden Valley Way Northbound,"-34.05217,150.70991"
Camden Valley Way Northbound,"-34.05205,150.71013"
Camden Valley Way Northbound,"-34.05188,150.71045"
Camden Valley Way Northbound,"-34.05179,150.71061"
Camden Valley Way Northbound,"-34.05174,150.71071"
Camden Valley Way Northbound,"-34.05167,150.71085"
Camden Valley Way Northbound,"-34.05157,150.71102"
Camden Valley Way Northbound,"-34.05103,150.71205"
Camden Valley Way Northbound,"-34.05089,150.7123"
Camden Valley Way Northbound,"-34.05032,150.71335"
Camden Valley Way Northbound,"-34.05025,150.71346"
Camden Valley Way Northbound,"-34.05017,150.71352"
Camden Valley Way Northbound,"-34.05002,150.71372"
Camden Valley Way Northbound,"-34.04975,150.71409"
Camden Valley Way Northbound,"-34.04948,150.71442"
Camden Valley Way Northbound,"-34.04948,150.71443"
Camden Valley Way Northbound,"-34.04923,150.71479"
Camden Valley Way Northbound,"-34.04914,150.71492"
Camden Valley Way Northbound,"-34.04912,150.71499"
Camden Valley Way Northbound,"-34.04908,150.71504"
Camden Valley Way Northbound,"-34.04867,150.71559"
Camden Valley Way Northbound,"-34.04762,150.71712"
Camden Valley Way Northbound,"-34.04739,150.71745"
Camden Valley Way Northbound,"-34.04716,150.71777"
Camden Valley Way Northbound,"-34.04676,150.71834"
Camden Valley Way Northbound,"-34.0466,150.71856"
Camden Valley Way Northbound,"-34.04572,150.71977"
Camden Valley Way Northbound,"-34.0455,150.72013"
Camden Valley Way Northbound,"-34.04536,150.72042"
Camden Valley Way Northbound,"-34.04507,150.72129"
Camden Valley Way Northbound,"-34.04478,150.72219"
Camden Valley Way Northbound,"-34.04473,150.72234"
Camden Valley Way Northbound,"-34.04466,150.72253"
Camden Valley Way Northbound,"-34.04452,150.723"
Camden Valley Way Northbound,"-34.0444,150.7234"
Camden Valley Way Northbound,"-34.04426,150.72383"
Camden Valley Way Northbound,"-34.04369,150.72558"
Camden Valley Way Northbound,"-34.04366,150.72561"
Camden Valley Way Northbound,"-34.04358,150.72582"
Camden Valley Way Northbound,"-34.04331,150.72639"
Camden Valley Way Northbound,"-34.04321,150.72652"
Camden Valley Way Northbound,"-34.04314,150.72657"
Camden Valley Way Northbound,"-34.04311,150.72658"
Camden Valley Way Northbound,"-34.04308,150.72659"
Camden Valley Way Northbound,"-34.04305,150.72661"
Camden Valley Way Northbound,"-34.04302,150.72666"
Camden Valley Way Northbound,"-34.043,150.7267"
Camden Valley Way Northbound,"-34.04299,150.72674"
Camden Valley Way Northbound,"-34.04299,150.72675"
Camden Valley Way Northbound,"-34.04298,150.72681"
Camden Valley Way Northbound,"-34.043,150.7269"
Camden Valley Way Northbound,"-34.04302,150.72693"
Camden Valley Way Northbound,"-34.04305,150.72696"
Camden Valley Way Northbound,"-34.04307,150.72697"
Camden Valley Way Northbound,"-34.04311,150.72715"
Camden Valley Way Northbound,"-34.04311,150.72726"
Camden Valley Way Northbound,"-34.04307,150.72771"
Camden Valley Way Northbound,"-34.04298,150.72798"
Camden Valley Way Northbound,"-34.04283,150.7284"
Camden Valley Way Northbound,"-34.04275,150.72866"
Camden Valley Way Northbound,"-34.04254,150.72933"
Camden Valley Way Northbound,"-34.04227,150.73017"
Camden Valley Way Northbound,"-34.04224,150.73026"
Camden Valley Way Northbound,"-34.04204,150.73086"
Camden Valley Way Northbound,"-34.042,150.73097"
Camden Valley Way Northbound,"-34.04195,150.73102"
Camden Valley Way Northbound,"-34.04178,150.73152"
Camden Valley Way Northbound,"-34.04173,150.73167"
Camden Valley Way Northbound,"-34.04152,150.73228"
Camden Valley Way Northbound,"-34.04148,150.73242"
Camden Valley Way Northbound,"-34.0414,150.73263"
Camden Valley Way Northbound,"-34.04125,150.73309"
Camden Valley Way Northbound,"-34.0412,150.73323"
Camden Valley Way Northbound,"-34.04112,150.73349"
Camden Valley Way Northbound,"-34.0411,150.73355"
Camden Valley Way Northbound,"-34.04106,150.73365"
Camden Valley Way Northbound,"-34.04098,150.73391"
Camden Valley Way Northbound,"-34.04087,150.73429"
Camden Valley Way Northbound,"-34.04077,150.73462"
Camden Valley Way Northbound,"-34.04065,150.73501"
Camden Valley Way Northbound,"-34.04048,150.7355"
Camden Valley Way Northbound,"-34.04044,150.73564"
Camden Valley Way Northbound,"-34.04034,150.73602"
Camden Valley Way Northbound,"-34.04022,150.73639"
Camden Valley Way Northbound,"-34.04013,150.73669"
Camden Valley Way Northbound,"-34.04004,150.73701"
Camden Valley Way Northbound,"-34.03987,150.73754"
Camden Valley Way Northbound,"-34.03979,150.73783"
Camden Valley Way Northbound,"-34.03962,150.73841"
Camden Valley Way Northbound,"-34.03957,150.73859"
Camden Valley Way Northbound,"-34.03953,150.73875"
Camden Valley Way Northbound,"-34.03947,150.73896"
Camden Valley Way Northbound,"-34.03942,150.73921"
Camden Valley Way Northbound,"-34.03932,150.73961"
Camden Valley Way Northbound,"-34.03929,150.73971"
Camden Valley Way Northbound,"-34.03926,150.73979"
Camden Valley Way Northbound,"-34.03931,150.73987"
Camden Valley Way Northbound,"-34.03936,150.73997"
Camden Valley Way Northbound,"-34.03943,150.74016"
Camden Valley Way Northbound,"-34.03953,150.74063"
Camden Valley Way Northbound,"-34.03965,150.74139"
Camden Valley Way Northbound,"-34.0397,150.74163"
Camden Valley Way Northbound,"-34.03984,150.74234"
Camden Valley Way Northbound,"-34.03992,150.74275"
Camden Valley Way Northbound,"-34.04002,150.74316"
Camden Valley Way Northbound,"-34.0401,150.74354"
Camden Valley Way Northbound,"-34.04037,150.74456"
Camden Valley Way Northbound,"-34.04046,150.74489"
Camden Valley Way Northbound,"-34.04054,150.7452"
Camden Valley Way Northbound,"-34.04074,150.74589"
Camden Valley Way Northbound,"-34.04083,150.74622"
Camden Valley Way Northbound,"-34.04095,150.74664"
Camden Valley Way Northbound,"-34.0412,150.74755"
Camden Valley Way Northbound,"-34.04135,150.74813"
Camden Valley Way Northbound,"-34.04148,150.74863"
Camden Valley Way Northbound,"-34.04158,150.74902"
Camden Valley Way Northbound,"-34.0416,150.74911"
Camden Valley Way Northbound,"-34.04193,150.75038"
Camden Valley Way Northbound,"-34.04201,150.75065"
Camden Valley Way Northbound,"-34.0421,150.75098"
Camden Valley Way Northbound,"-34.04235,150.75193"
Camden Valley Way Northbound,"-34.04257,150.75275"
Camden Valley Way Northbound,"-34.04277,150.75341"
Camden Valley Way Northbound,"-34.04285,150.75373"
Camden Valley Way Northbound,"-34.04294,150.75404"
Camden Valley Way Northbound,"-34.04304,150.75435"
Camden Valley Way Northbound,"-34.04305,150.75439"
Camden Valley Way Northbound,"-34.04313,150.75462"
Camden Valley Way Northbound,"-34.04327,150.75498"
Camden Valley Way Northbound,"-34.04356,150.75562"
Camden Valley Way Northbound,"-34.04373,150.75591"
Camden Valley Way Northbound,"-34.04398,150.75634"
Camden Valley Way Northbound,"-34.04447,150.75703"
Camden Valley Way Northbound,"-34.04456,150.75719"
Camden Valley Way Northbound,"-34.0448,150.75753"
Camden Valley Way Northbound,"-34.04559,150.75864"
Camden Valley Way Northbound,"-34.04572,150.75881"
Camden Valley Way Northbound,"-34.04605,150.75924"
Camden Valley Way Northbound,"-34.0463,150.75957"
Camden Valley Way Northbound,"-34.04656,150.75991"
Camden Valley Way Northbound,"-34.04666,150.76005"
Camden Valley Way Northbound,"-34.04685,150.7603"
Camden Valley Way Northbound,"-34.04703,150.76054"
Camden Valley Way Northbound,"-34.04727,150.76089"
Camden Valley Way Northbound,"-34.04731,150.76094"
Camden Valley Way Northbound,"-34.04755,150.76127"
Camden Valley Way Northbound,"-34.04785,150.7617"
Camden Valley Way Northbound,"-34.04791,150.76179"
Camden Valley Way Northbound,"-34.04808,150.76201"
Camden Valley Way Northbound,"-34.04824,150.76226"
Camden Valley Way Northbound,"-34.04845,150.76256"
Camden Valley Way Northbound,"-34.04965,150.7642"
Camden Valley Way Northbound,"-34.05013,150.76485"
Camden Valley Way Northbound,"-34.05042,150.76509"
Camden Valley Way Northbound,"-34.05108,150.76601"
Camden Valley Way Northbound,"-34.0514,150.76652"
Camden Valley Way Northbound,"-34.05185,150.76731"
Camden Valley Way Northbound,"-34.05216,150.76798"
Camden Valley Way Northbound,"-34.05248,150.76874"
Camden Valley Way Northbound,"-34.05264,150.76919"
Camden Valley Way Northbound,"-34.05278,150.76964"
Camden Valley Way Northbound,"-34.05292,150.77013"
Camden Valley Way Northbound,"-34.053,150.77043"
Camden Valley Way Northbound,"-34.05322,150.77146"
Camden Valley Way Northbound,"-34.0533,150.77179"
Camden Valley Way Northbound,"-34.05337,150.77208"
Camden Valley Way Northbound,"-34.05351,150.7727"
Camden Valley Way Northbound,"-34.05353,150.77281"
Camden Valley Way Northbound,"-34.05362,150.77307"
Camden Valley Way Northbound,"-34.05371,150.77342"
Camden Valley Way Northbound,"-34.05381,150.77373"
Camden Valley Way Northbound,"-34.0542,150.77469"
Camden Valley Way Northbound,"-34.05449,150.77529"
Camden Valley Way Northbound,"-34.05487,150.77594"
Camden Valley Way Northbound,"-34.05494,150.77606"
Camden Valley Way Northbound,"-34.05517,150.77637"
Camden Valley Way Northbound,"-34.05542,150.77671"
Camden Valley Way Northbound,"-34.05576,150.77716"
Camden Valley Way Northbound,"-34.05597,150.77737"
Camden Valley Way Northbound,"-34.05662,150.77802"
Camden Valley Way Northbound,"-34.05683,150.77822"
Camden Valley Way Northbound,"-34.05698,150.77837"
Camden Valley Way Northbound,"-34.05704,150.77843"
Camden Valley Way Northbound,"-34.05723,150.77862"
Camden Valley Way Northbound,"-34.05741,150.77881"
Camden Valley Way Northbound,"-34.05762,150.77903"
Camden Valley Way Northbound,"-34.05794,150.77937"
Camden Valley Way Northbound,"-34.0581,150.77952"
Camden Valley Way Northbound,"-34.05919,150.78065"
Camden Valley Way Northbound,"-34.05928,150.78076"
Camden Valley Way Northbound,"-34.05958,150.78113"
Camden Valley Way Northbound,"-34.05981,150.78146"
Camden Valley Way Northbound,"-34.06015,150.78196"
Camden Valley Way Northbound,"-34.06036,150.78234"
Camden Valley Way Northbound,"-34.06038,150.78247"
Camden Valley Way Northbound,"-34.06064,150.78311"
Camden Valley Way Northbound,"-34.06126,150.78449"
Camden Valley Way Northbound,"-34.0613,150.78463"
Camden Valley Way Northbound,"-34.0613,150.78479"
Camden Valley Way Northbound,"-34.06129,150.7849"
Camden Valley Way Northbound,"-34.06115,150.78536"
Camden Valley Way Northbound,"-34.06107,150.78556"
Camden Valley Way Northbound,"-34.06076,150.78624"
Camden Valley Way Northbound,"-34.06007,150.78755"
Camden Valley Way Northbound,"-34.05997,150.78774"
Camden Valley Way Northbound,"-34.05973,150.78823"
Camden Valley Way Northbound,"-34.05916,150.78944"
Camden Valley Way Northbound,"-34.05885,150.79015"
Camden Valley Way Northbound,"-34.05866,150.79059"
Camden Valley Way Northbound,"-34.05857,150.79092"
Camden Valley Way Northbound,"-34.05834,150.79144"
Camden Valley Way Northbound,"-34.05802,150.79228"
Camden Valley Way Northbound,"-34.05769,150.79325"
Camden Valley Way Northbound,"-34.05762,150.79348"
Camden Valley Way Northbound,"-34.05755,150.79371"
Camden Valley Way Northbound,"-34.05735,150.79434"
Camden Valley Way Northbound,"-34.05718,150.79488"
Camden Valley Way Northbound,"-34.05679,150.79613"
Camden Valley Way Northbound,"-34.05664,150.79663"
Camden Valley Way Northbound,"-34.0561,150.79834"
Camden Valley Way Northbound,"-34.05577,150.79943"
Camden Valley Way Northbound,"-34.05519,150.80127"
Camden Valley Way Northbound,"-34.05491,150.80216"
Camden Valley Way Northbound,"-34.05443,150.80373"
Camden Valley Way Northbound,"-34.05436,150.80396"
Camden Valley Way Northbound,"-34.05422,150.80442"
Camden Valley Way Northbound,"-34.0535,150.80671"
Camden Valley Way Northbound,"-34.05332,150.80726"
Camden Valley Way Northbound,"-34.05319,150.80765"
Camden Valley Way Northbound,"-34.05311,150.80786"
Camden Valley Way Northbound,"-34.05298,150.80822"
Camden Valley Way Northbound,"-34.05286,150.80853"
Camden Valley Way Northbound,"-34.05227,150.80992"
Camden Valley Way Northbound,"-34.05204,150.81043"
Camden Valley Way Northbound,"-34.05117,150.81213"
Camden Valley Way Northbound,"-34.05094,150.81252"
Camden Valley Way Northbound,"-34.05032,150.81351"
Camden Valley Way Northbound,"-34.05007,150.81389"
Camden Valley Way Northbound,"-34.04941,150.81482"
Camden Valley Way Northbound,"-34.04871,150.81572"
Camden Valley Way Northbound,"-34.04777,150.81682"
Camden Valley Way Northbound,"-34.04724,150.81738"
Camden Valley Way Northbound,"-34.04641,150.8182"
Camden Valley Way Northbound,"-34.04622,150.81837"
Camden Valley Way Northbound,"-34.04565,150.81887"
Camden Valley Way Northbound,"-34.04464,150.81967"
Camden Valley Way Northbound,"-34.04395,150.82018"
Camden Valley Way Northbound,"-34.04375,150.82031"
Camden Valley Way Northbound,"-34.04306,150.82076"
Camden Valley Way Northbound,"-34.04242,150.82114"
Camden Valley Way Northbound,"-34.04145,150.82166"
Camden Valley Way Northbound,"-34.04039,150.82216"
Camden Valley Way Northbound,"-34.03942,150.82255"
Camden Valley Way Northbound,"-34.03904,150.82268"
Camden Valley Way Northbound,"-34.03789,150.82303"
Camden Valley Way Northbound,"-34.03736,150.82317"
Camden Valley Way Northbound,"-34.03649,150.82336"
Camden Valley Way Northbound,"-34.0359,150.82347"
Camden Valley Way Northbound,"-34.03564,150.82351"
Camden Valley Way Northbound,"-34.03514,150.8236"
Camden Valley Way Northbound,"-34.03493,150.82362"
Camden Valley Way Northbound,"-34.03414,150.82369"
Camden Valley Way Northbound,"-34.03337,150.82372"
Camden Valley Way Northbound,"-34.03156,150.82378"
Camden Valley Way Northbound,"-34.02996,150.82382"
Camden Valley Way Northbound,"-34.02967,150.82383"
Camden Valley Way Northbound,"-34.02739,150.82388"
Camden Valley Way Northbound,"-34.02513,150.82394"
Camden Valley Way Northbound,"-34.02357,150.82399"
Camden Valley Way Northbound,"-34.02305,150.82402"
Camden Valley Way Northbound,"-34.02195,150.82409"
Camden Valley Way Northbound,"-34.02082,150.82423"
Camden Valley Way Northbound,"-34.01981,150.82439"
Camden Valley Way Northbound,"-34.01872,150.82465"
Camden Valley Way Northbound,"-34.01802,150.82484"
Camden Valley Way Northbound,"-34.01764,150.82495"
Camden Valley Way Northbound,"-34.01698,150.82517"
Camden Valley Way Northbound,"-34.01581,150.82562"
Camden Valley Way Northbound,"-34.01497,150.82599"
Camden Valley Way Northbound,"-34.01438,150.82628"
Camden Valley Way Northbound,"-34.01388,150.82654"
Camden Valley Way Northbound,"-34.01367,150.82665"
Camden Valley Way Northbound,"-34.01236,150.82741"
Camden Valley Way Northbound,"-34.01212,150.82756"
Camden Valley Way Northbound,"-34.01167,150.82785"
Camden Valley Way Northbound,"-34.01106,150.8283"
Camden Valley Way Northbound,"-34.00983,150.82926"
Camden Valley Way Northbound,"-34.00966,150.82941"
Camden Valley Way Northbound,"-34.00935,150.82967"
Camden Valley Way Northbound,"-34.00868,150.83026"
Camden Valley Way Northbound,"-34.00783,150.8311"
Camden Valley Way Northbound,"-34.00683,150.83219"
Camden Valley Way Northbound,"-34.00645,150.83263"
Camden Valley Way Northbound,"-34.00577,150.83345"
Camden Valley Way Northbound,"-34.00549,150.83384"
Camden Valley Way Northbound,"-34.00503,150.83444"
Camden Valley Way Northbound,"-34.00439,150.83539"
Camden Valley Way Northbound,"-34.0035,150.83682"
Camden Valley Way Northbound,"-34.00167,150.83986"
Camden Valley Way Northbound,"-34.00127,150.84052"
Camden Valley Way Northbound,"-34.00089,150.84116"
Camden Valley Way Northbound,"-34.00017,150.84229"
Camden Valley Way Northbound,"-33.99972,150.84299"
Camden Valley Way Northbound,"-33.99933,150.84355"
Camden Valley Way Northbound,"-33.99897,150.84405"
Camden Valley Way Northbound,"-33.99858,150.84455"
Camden Valley Way Northbound,"-33.99763,150.84573"
Camden Valley Way Northbound,"-33.99698,150.84647"
Camden Valley Way Northbound,"-33.99626,150.84726"
Camden Valley Way Northbound,"-33.99564,150.84785"
Camden Valley Way Northbound,"-33.9951,150.84836"
Camden Valley Way Northbound,"-33.99452,150.84887"
Camden Valley Way Northbound,"-33.99343,150.84977"
Camden Valley Way Northbound,"-33.99324,150.84991"
Camden Valley Way Northbound,"-33.9917,150.85107"
Camden Valley Way Northbound,"-33.99102,150.85158"
Camden Valley Way Northbound,"-33.99057,150.85192"
Camden Valley Way Northbound,"-33.98951,150.85273"
Camden Valley Way Northbound,"-33.98924,150.85297"
Camden Valley Way Northbound,"-33.98874,150.85338"
Camden Valley Way Northbound,"-33.98802,150.85405"
Camden Valley Way Northbound,"-33.98769,150.85437"
Camden Valley Way Northbound,"-33.98735,150.8547"
Camden Valley Way Northbound,"-33.98723,150.85484"
Camden Valley Way Northbound,"-33.98679,150.85533"
Camden Valley Way Northbound,"-33.98649,150.85568"
Camden Valley Way Northbound,"-33.98607,150.85623"
Camden Valley Way Northbound,"-33.98575,150.85665"
Camden Valley Way Northbound,"-33.98558,150.85688"
Camden Valley Way Northbound,"-33.98544,150.85707"
Camden Valley Way Northbound,"-33.98491,150.85783"
Camden Valley Way Northbound,"-33.98453,150.85844"
Camden Valley Way Northbound,"-33.98408,150.85923"
Camden Valley Way Northbound,"-33.98308,150.86113"
Camden Valley Way Northbound,"-33.98227,150.86273"
Camden Valley Way Northbound,"-33.98175,150.86373"
Camden Valley Way Northbound,"-33.98145,150.86426"
Camden Valley Way Northbound,"-33.98106,150.86496"
Camden Valley Way Northbound,"-33.98073,150.86551"
Camden Valley Way Northbound,"-33.98021,150.86628"
Camden Valley Way Northbound,"-33.98,150.86658"
Camden Valley Way Northbound,"-33.97952,150.86721"
Camden Valley Way Northbound,"-33.97888,150.86798"
Camden Valley Way Northbound,"-33.97803,150.86892"
Camden Valley Way Northbound,"-33.97767,150.86928"
Camden Valley Way Northbound,"-33.97714,150.86979"
Camden Valley Way Northbound,"-33.97649,150.87038"
Camden Valley Way Northbound,"-33.97587,150.87087"
Camden Valley Way Northbound,"-33.97513,150.87142"
Camden Valley Way Northbound,"-33.97425,150.872"
Camden Valley Way Northbound,"-33.97353,150.87242"
Camden Valley Way Northbound,"-33.97265,150.87288"
Camden Valley Way Northbound,"-33.97253,150.87292"
Camden Valley Way Northbound,"-33.97228,150.87304"
Camden Valley Way Northbound,"-33.97223,150.87307"
Camden Valley Way Northbound,"-33.97172,150.87329"
Camden Valley Way Northbound,"-33.97079,150.87364"
Camden Valley Way Northbound,"-33.96973,150.87398"
Camden Valley Way Northbound,"-33.96972,150.87398"
Camden Valley Way Northbound,"-33.96942,150.87406"
Camden Valley Way Northbound,"-33.96836,150.87429"
Camden Valley Way Northbound,"-33.96717,150.87451"
Camden Valley Way Northbound,"-33.96686,150.87457"
Camden Valley Way Northbound,"-33.96663,150.87461"
Camden Valley Way Northbound,"-33.9662,150.8747"
Camden Valley Way Northbound,"-33.96281,150.87536"
Camden Valley Way Northbound,"-33.96183,150.87556"
Camden Valley Way Northbound,"-33.96165,150.87551"
Camden Valley Way Northbound,"-33.961,150.87561"
Camden Valley Way Northbound,"-33.9607,150.87564"
Camden Valley Way Northbound,"-33.96044,150.87565"
Camden Valley Way Northbound,"-33.96014,150.87565"
Camden Valley Way Northbound,"-33.95982,150.87563"
Camden Valley Way Northbound,"-33.95922,150.87553"
Camden Valley Way Northbound,"-33.95904,150.87551"
Camden Valley Way Northbound,"-33.95885,150.87548"
Camden Valley Way Northbound,"-33.95844,150.87543"
Camden Valley Way Northbound,"-33.95822,150.87541"
Camden Valley Way Northbound,"-33.9578,150.87544"
Camden Valley Way Northbound,"-33.95767,150.87545"
Camden Valley Way Northbound,"-33.95733,150.87553"
Camden Valley Way Northbound,"-33.95707,150.87563"
Camden Valley Way Northbound,"-33.95678,150.87574"
Camden Valley Way Northbound,"-33.95667,150.87576"
Camden Valley Way Northbound,"-33.95672,150.87619"
Camden Valley Way Northbound,"-33.95676,150.87649"
Camden Valley Way Northbound,"-33.95677,150.87657"
Camden Valley Way Northbound,"-33.95679,150.87668"
Camden Valley Way Northbound,"-33.95681,150.87679"
Camden Valley Way Northbound,"-33.95687,150.87719"
Camden Valley Way Northbound,"-33.9569,150.87737"
Camden Valley Way Northbound,"-33.95694,150.87767"
Camden Valley Way Northbound,"-33.95703,150.87856"
Camden Valley Way Northbound,"-33.95705,150.87886"
Camden Valley Way Northbound,"-33.95713,150.88021"
Camden Valley Way Northbound,"-33.95713,150.88024"
Camden Valley Way Northbound,"-33.95716,150.88066"
Camden Valley Way Northbound,"-33.95719,150.88097"
Camden Valley Way Northbound,"-33.95721,150.88122"
Camden Valley Way Northbound,"-33.95728,150.88182"
Camden Valley Way Northbound,"-33.95732,150.88236"
Camden Valley Way Northbound,"-33.95733,150.88245"
Camden Valley Way Northbound,"-33.95737,150.88274"
Camden Valley Way Northbound,"-33.95743,150.88323"
Camden Valley Way Northbound,"-33.95757,150.88438"
Camden Valley Way Northbound,"-33.95764,150.88487"
Camden Valley Way Northbound,"-33.95765,150.88496"
Camden Valley Way Northbound,"-33.95767,150.88508"
Camden Valley Way Northbound,"-33.95771,150.88566"
Camden Valley Way Northbound,"-33.95772,150.88599"
Camden Valley Way Northbound,"-33.95771,150.88623"
Camden Valley Way Northbound,"-33.9577,150.88652"
Camden Valley Way Northbound,"-33.95768,150.88693"
Camden Valley Way Northbound,"-33.95766,150.88704"
Camden Valley Way Southbound,"-33.95787,150.88706"
Camden Valley Way Southbound,"-33.95787,150.88646"
Camden Valley Way Southbound,"-33.95787,150.88624"
Camden Valley Way Southbound,"-33.95787,150.88623"
Camden Valley Way Southbound,"-33.95787,150.88603"
Camden Valley Way Southbound,"-33.95786,150.8856"
Camden Valley Way Southbound,"-33.95782,150.88526"
Camden Valley Way Southbound,"-33.9578,150.88514"
Camden Valley Way Southbound,"-33.95779,150.88501"
Camden Valley Way Southbound,"-33.95773,150.88451"
Camden Valley Way Southbound,"-33.95771,150.88435"
Camden Valley Way Southbound,"-33.95763,150.88363"
Camden Valley Way Southbound,"-33.9576,150.88332"
Camden Valley Way Southbound,"-33.95754,150.88291"
Camden Valley Way Southbound,"-33.95747,150.88243"
Camden Valley Way Southbound,"-33.95814,150.88231"
Camden Valley Way Southbound,"-33.95824,150.88227"
Camden Valley Way Southbound,"-33.95849,150.88217"
Camden Valley Way Southbound,"-33.95859,150.88212"
Camden Valley Way Southbound,"-33.95879,150.88201"
Camden Valley Way Southbound,"-33.95905,150.88178"
Camden Valley Way Southbound,"-33.95908,150.88175"
Camden Valley Way Southbound,"-33.9592,150.88168"
Camden Valley Way Southbound,"-33.95923,150.88169"
Camden Valley Way Southbound,"-33.95926,150.88169"
Camden Valley Way Southbound,"-33.95928,150.88169"
Camden Valley Way Southbound,"-33.95934,150.88168"
Camden Valley Way Southbound,"-33.95936,150.88167"
Camden Valley Way Southbound,"-33.95938,150.88165"
Camden Valley Way Southbound,"-33.95942,150.8816"
Camden Valley Way Southbound,"-33.95945,150.88156"
Camden Valley Way Southbound,"-33.95945,150.88151"
Camden Valley Way Southbound,"-33.95944,150.88142"
Camden Valley Way Southbound,"-33.95943,150.8814"
Camden Valley Way Southbound,"-33.95952,150.88118"
Camden Valley Way Southbound,"-33.95954,150.88108"
Camden Valley Way Southbound,"-33.95979,150.88076"
Camden Valley Way Southbound,"-33.96018,150.88028"
Camden Valley Way Southbound,"-33.96023,150.88021"
Camden Valley Way Southbound,"-33.96036,150.88007"
Camden Valley Way Southbound,"-33.96064,150.87983"
Camden Valley Way Southbound,"-33.96157,150.8791"
Camden Valley Way Southbound,"-33.96185,150.87882"
Camden Valley Way Southbound,"-33.96221,150.87837"
Camden Valley Way Southbound,"-33.9623,150.87823"
Camden Valley Way Southbound,"-33.9624,150.87814"
Camden Valley Way Southbound,"-33.96251,150.87805"
Camden Valley Way Southbound,"-33.96255,150.87806"
Camden Valley Way Southbound,"-33.96259,150.87807"
Camden Valley Way Southbound,"-33.96264,150.87806"
Camden Valley Way Southbound,"-33.96271,150.87807"
Camden Valley Way Southbound,"-33.96277,150.87812"
Camden Valley Way Southbound,"-33.96367,150.8791"
Camden Valley Way Southbound,"-33.96383,150.87927"
Camden Valley Way Southbound,"-33.96394,150.87938"
Camden Valley Way Southbound,"-33.964,150.87929"
Camden Valley Way Southbound,"-33.96439,150.87868"
Camden Valley Way Southbound,"-33.96461,150.87844"
Camden Valley Way Southbound,"-33.96494,150.878"
Camden Valley Way Southbound,"-33.96552,150.87725"
Camden Valley Way Southbound,"-33.96579,150.87692"
Camden Valley Way Southbound,"-33.96621,150.87645"
Camden Valley Way Southbound,"-33.96642,150.87623"
Camden Valley Way Southbound,"-33.96675,150.87594"
Camden Valley Way Southbound,"-33.96694,150.87579"
Camden Valley Way Southbound,"-33.96709,150.87567"
Camden Valley Way Southbound,"-33.96769,150.87529"
Camden Valley Way Southbound,"-33.9682,150.87505"
Camden Valley Way Southbound,"-33.96952,150.87456"
Camden Valley Way Southbound,"-33.96973,150.87449"
Camden Valley Way Southbound,"-33.96977,150.87448"
Camden Valley Way Southbound,"-33.97176,150.8738"
Camden Valley Way Southbound,"-33.97205,150.87362"
Camden Valley Way Southbound,"-33.97221,150.87356"
Camden Valley Way Southbound,"-33.97238,150.87349"
Camden Valley Way Southbound,"-33.97262,150.8734"
Camden Valley Way Southbound,"-33.9734,150.87307"
Camden Valley Way Southbound,"-33.97425,150.87263"
Camden Valley Way Southbound,"-33.9745,150.87249"
Camden Valley Way Southbound,"-33.97539,150.87193"
Camden Valley Way Southbound,"-33.97606,150.87144"
Camden Valley Way Southbound,"-33.97686,150.87083"
Camden Valley Way Southbound,"-33.97711,150.87061"
Camden Valley Way Southbound,"-33.97745,150.8703"
Camden Valley Way Southbound,"-33.97806,150.86972"
Camden Valley Way Southbound,"-33.97833,150.86943"
Camden Valley Way Southbound,"-33.97865,150.86909"
Camden Valley Way Southbound,"-33.97899,150.86868"
Camden Valley Way Southbound,"-33.97911,150.86853"
Camden Valley Way Southbound,"-33.97936,150.86821"
Camden Valley Way Southbound,"-33.97984,150.86755"
Camden Valley Way Southbound,"-33.98025,150.86694"
Camden Valley Way Southbound,"-33.9808,150.86602"
Camden Valley Way Southbound,"-33.98127,150.86519"
Camden Valley Way Southbound,"-33.98175,150.86426"
Camden Valley Way Southbound,"-33.98283,150.86218"
Camden Valley Way Southbound,"-33.98313,150.86155"
Camden Valley Way Southbound,"-33.98348,150.86086"
Camden Valley Way Southbound,"-33.98443,150.8592"
Camden Valley Way Southbound,"-33.98515,150.85807"
Camden Valley Way Southbound,"-33.9857,150.8573"
Camden Valley Way Southbound,"-33.98591,150.85703"
Camden Valley Way Southbound,"-33.9861,150.85678"
Camden Valley Way Southbound,"-33.98633,150.85648"
Camden Valley Way Southbound,"-33.9866,150.85614"
Camden Valley Way Southbound,"-33.98697,150.85567"
Camden Valley Way Southbound,"-33.98734,150.85524"
Camden Valley Way Southbound,"-33.98747,150.8551"
Camden Valley Way Southbound,"-33.98789,150.85466"
Camden Valley Way Southbound,"-33.98837,150.85417"
Camden Valley Way Southbound,"-33.98861,150.85394"
Camden Valley Way Southbound,"-33.98897,150.85362"
Camden Valley Way Southbound,"-33.98927,150.85335"
Camden Valley Way Southbound,"-33.98964,150.85306"
Camden Valley Way Southbound,"-33.98995,150.85279"
Camden Valley Way Southbound,"-33.99033,150.85248"
Camden Valley Way Southbound,"-33.9907,150.8522"
Camden Valley Way Southbound,"-33.9917,150.85146"
Camden Valley Way Southbound,"-33.99183,150.85136"
Camden Valley Way Southbound,"-33.99226,150.85102"
Camden Valley Way Southbound,"-33.99352,150.8501"
Camden Valley Way Southbound,"-33.99496,150.84901"
