the_geom,station_id,full_name,name,road_name,common_road_name,secondary_name,suburb,post_code,lga,rms_region,distance_to_intersection,intersection,road_number,link_number,mab_identifier,device_type,permanent_station,vehicle_classifier,road_on_type,road_classification_type,road_classification_admin,wgs84_latitude,wgs84_longitude
0101000020E61000000533A6600DF66240A8380EBC5A7840C0,05674,"Carnley Avenue, East of Charlestown Road",Carnley Avenue,Carnley Avenue,Carnley Avenue,East of Charlestown Road,Kotara,2289,Newcastle,Hunter,90,Charlestown Road,0000603,0030,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Avenue,Regional,-32.940269,151.689133
0101000020E610000064B2B8FF48F662408C118942CB7240C0,05675,"University Drive, East of Main Road",University Drive,University Drive,University Drive,East of Main Road,Callaghan,2308,Newcastle,Hunter,130,Main Road,0000605,0046,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Drive,Local,-32.896828,151.696411
0101000020E6100000A359D93EE4F6624012A27C410B7740C0,05677,"Bridges Road, North of Musgrove Street",Bridges Road,Bridges Road,Bridges Road,North of Musgrove Street,New Lambton,2305,Newcastle,Hunter,40,Musgrove Street,0000326,0026,B63,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.930031,151.715362
0101000020E61000001CB7989F9BF46240ACE0B721C66740C0,05682,"John Renshaw Drive, South of New England Highway",John Renshaw Drive,John Renshaw Drive,John Renshaw Drive,South of New England Highway,Beresfield,2322,Newcastle,Hunter,340,New England Highway,0000588,0010,A1,Trafficorder Tube Axlepair Counter,0,0,OnGround,Drive,State,-32.810734,151.643997
0101000020E61000005455682016F46240F0694E5E646840C0,05683,"John Renshaw Drive, West of Kullara Close",John Renshaw Drive,John Renshaw Drive,John Renshaw Drive,West of Kullara Close,Beresfield,2322,Newcastle,Hunter,570,Kullara Close,0000588,0016,B68,Trafficorder Loop Counter,1,0,OnGround,Drive,State,-32.815563,151.627701
0101000020E61000003AB01C2183F5624063B5F97FD57740C0,05692,"Wallsend Road, West of Main Road",Wallsend Road,Wallsend Road,Main Road,West of Main Road,Cardiff Heights,2285,Lake Macquarie,Hunter,0,Main Road,0000223,0120,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.936203,151.672257
0101000020E610000061A6ED5FD9F5624072FA7ABE667940C0,05693,"Myall Road, West of Prospect Road",Myall Road,Myall Road,Myall Road,West of Prospect Road,Garden Suburb,2289,Lake Macquarie,Hunter,100,Prospect Road,0007769,0010,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Regional,-32.948448,151.682785
0101000020E61000001AA88C7F1FF16240778192020B6A40C0,05694,"John Renshaw Drive, East of Hunter Expressway",John Renshaw Drive,John Renshaw Drive,John Renshaw Drive,East of Hunter Expressway,Buchanan,2323,Cessnock,Hunter,400,Hunter Expressway,0000588,0035,B68,Trafficorder Tube Axlepair Counter,0,1,OnGround,Drive,Local,-32.828461,151.535095
0101000020E610000019AE0E8038E9624012691B7FA2B640C0,05781,"Central Coast Highway, South of Wisemans Ferry Road",Central Coast Highway,Central Coast Highway,Central Coast Highway,South of Wisemans Ferry Road,Somersby,2250,Gosford,Hunter,100,Wisemans Ferry Road,0000030,0930,A49,Trafficorder Tube Axlepair Counter,0,0,OnGround,Highway,State,-33.426834,151.288147
0101000020E6100000B6F5D37F56EA6240B41F2922C3B640C0,05786,"Central Coast Highway, East of Yallambee Avenue",Central Coast Highway,Central Coast Highway,Central Coast Highway,East of Yallambee Avenue,West Gosford,2250,Gosford,Hunter,130,Yallambee Avenue,0000030,1000,A49,Trafficorder Tube Axlepair Counter,0,0,OnBridge,Highway,State,-33.427830,151.323059
0101000020E6100000B0C56E9FD5EA6240DD274701A2B640C0,05788,"Donnison Street, South of Showground Road",Donnison Street,Donnison Street,Donnison Street,South of Showground Road,Gosford,2250,Gosford,Hunter,30,Showground Road,-10,-10,NULL,Trafficorder Tube Axlepair Counter,0,0,OnBridge,Street,Local,-33.426819,151.338577
0101000020E610000089CF9D60FFEA624004E275FD82B540C0,05793,"Mann Street, North of Racecourse Road",Mann Street,Mann Street,Pacific Highway,North of Racecourse Road,North Gosford,2250,Gosford,Hunter,110,Racecourse Road,0007757,0020,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Highway,Regional,-33.418060,151.343674
0101000020E61000007A54FCDF11EB6240F46C567DAEB240C0,05796,"Pacific Highway, West of Berrys Head Road",Pacific Highway,Pacific Highway,"Pacific.pacific Highway, Narara",West of Berrys Head Road,Wyoming,2250,Gosford,Hunter,20,Berrys Head Road,0000010,1055,NULL,Trafficorder Loop Counter,1,0,OnGround,Highway,State,-33.395950,151.345932
0101000020E6100000962023A042E96240BDE3141DC9AF40C0,05813,"Wisemans Ferry Road, East of Elwins Road",Wisemans Ferry Road,Wisemans Ferry Road,Wisemans Ferry Road,East of Elwins Road,Somersby,2250,Gosford,Hunter,80,Elwins Road,1840225,1030,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,Local,-33.373325,151.289383
0101000020E610000086AB0320EEF162402096CD1C92A240C0,05838,"Wilfred Barrett Drive, North of Bungary Road",Wilfred Barrett Drive,Wilfred Barrett Drive,Wilfred Barrett Drive,North of Bungary Road,Norah Head,2263,Wyong,Hunter,100,Bungary Road,0000030,2210,A49,Trafficorder Tube Axlepair Counter,0,0,OnGround,Drive,State,-33.270084,151.560318
0101000020E610000087C3D2C00FF062406A85E97B0DAB40C0,05839,"Wilfred Barrett Drive, North of Dunleith Street",Wilfred Barrett Drive,Wilfred Barrett Drive,Wilfred Barrett Drive,North of Dunleith Street,The Entrance North,2261,Wyong,Hunter,90,Dunleith Street,0000030,2210,A49,Trafficorder Tube Axlepair Counter,0,0,OnBridge,Drive,State,-33.336349,151.501923
0101000020E6100000F9BA0CFFE9E66240AE0D15E3FC5140C0,05841,"Mitchell Line Of Road, West of New Freugh Lane",Mitchell Line Of Road,Mitchell Line Of Road,Golden Highway,West of New Freugh Lane,Singleton Military Area,2331,Singleton,Hunter,1650,New Freugh Lane,0000027,0010,B84,Trafficorder Tube Axlepair Counter,0,1,OnGround,Highway,State,-32.640530,151.216064
0101000020E61000008ACC5CE072F76240DB334B02D47040C0,05842,"Tourle Street, East of Mcintosh Drive",Tourle Street,Tourle Street,Tourle Street,East of Mcintosh Drive,Mayfield West,2304,Newcastle,Hunter,310,Mcintosh Drive,0000108,0015,B63,Excel Lpl,1,1,OnGround,Street,State,-32.881470,151.732773
0101000020E6100000BB287AE063F36240F0517FBDC24E40C0,05849,"Tocal Road, West of Paterson Road",Tocal Road,Tocal Road,Tocal Road,West of Paterson Road,Tocal,2421,Dungog,Hunter,490,Paterson Road,0000101,0050,NULL,Trafficorder Tube Axlepair Counter,0,1,OnGround,Road,Regional,-32.615318,151.605942
